... loading data
... building the model
... training
epoch 1, minibatch 2500/2500, validation error 3.480000 %
     epoch 8, minibatch 2500/2500, test error of best model 0.140000 %
epoch 9, minibatch 2500/2500, validation error 0.160000 %
     epoch 9, minibatch 2500/2500, test error of best model 0.110000 %
epoch 10, minibatch 2500/2500, validation error 0.140000 %
     epoch 10, minibatch 2500/2500, test error of best model 0.100000 %
epoch 11, minibatch 2500/2500, validation error 0.140000 %
epoch 12, minibatch 2500/2500, validation error 0.110000 %
     epoch 12, minibatch 2500/2500, test error of best model 0.100000 %
epoch 13, minibatch 2500/2500, validation error 0.110000 %
epoch 14, minibatch 2500/2500, validation error 0.110000 %
epoch 15, minibatch 2500/2500, validation error 0.100000 %
     epoch 15, minibatch 2500/2500, test error of best model 0.090000 %
epoch 16, minibatch 2500/2500, validation error 0.090000 %
     epoch 16, minibatch 2500/2500, test error of best model 0.080000 %
epoch 17, minibatch 2500/2500, validation error 0.090000 %
epoch 18, minibatch 2500/2500, validation error 0.070000 %
     epoch 18, minibatch 2500/2500, test error of best model 0.060000 %
epoch 19, minibatch 2500/2500, validation error 0.050000 %
     epoch 19, minibatch 2500/2500, test error of best model 0.050000 %
epoch 20, minibatch 2500/2500, validation error 0.050000 %
epoch 21, minibatch 2500/2500, validation error 0.050000 %
epoch 22, minibatch 2500/2500, validation error 0.050000 %
epoch 23, minibatch 2500/2500, validation error 0.040000 %
     epoch 23, minibatch 2500/2500, test error of best model 0.030000 %
epoch 24, minibatch 2500/2500, validation error 0.030000 %
     epoch 24, minibatch 2500/2500, test error of best model 0.030000 %
epoch 25, minibatch 2500/2500, validation error 0.020000 %
     epoch 25, minibatch 2500/2500, test error of best model 0.030000 %
epoch 26, minibatch 2500/2500, validation error 0.020000 %
epoch 27, minibatch 2500/2500, validation error 0.020000 %
epoch 28, minibatch 2500/2500, validation error 0.020000 %
epoch 29, minibatch 2500/2500, validation error 0.020000 %
epoch 30, minibatch 2500/2500, validation error 0.020000 %
epoch 31, minibatch 2500/2500, validation error 0.020000 %
epoch 32, minibatch 2500/2500, validation error 0.020000 %
epoch 33, minibatch 2500/2500, validation error 0.020000 %
epoch 34, minibatch 2500/2500, validation error 0.020000 %
epoch 35, minibatch 2500/2500, validation error 0.020000 %
epoch 36, minibatch 2500/2500, validation error 0.020000 %
epoch 37, minibatch 2500/2500, validation error 0.020000 %
epoch 38, minibatch 2500/2500, validation error 0.020000 %
epoch 39, minibatch 2500/2500, validation error 0.020000 %
epoch 40, minibatch 2500/2500, validation error 0.020000 %
epoch 41, minibatch 2500/2500, validation error 0.020000 %
epoch 42, minibatch 2500/2500, validation error 0.020000 %
epoch 43, minibatch 2500/2500, validation error 0.020000 %
epoch 44, minibatch 2500/2500, validation error 0.020000 %
epoch 45, minibatch 2500/2500, validation error 0.020000 %
epoch 46, minibatch 2500/2500, validation error 0.020000 %
epoch 47, minibatch 2500/2500, validation error 0.020000 %
epoch 48, minibatch 2500/2500, validation error 0.010000 %
     epoch 48, minibatch 2500/2500, test error of best model 0.010000 %
epoch 49, minibatch 2500/2500, validation error 0.010000 %
epoch 50, minibatch 2500/2500, validation error 0.010000 %
epoch 51, minibatch 2500/2500, validation error 0.010000 %
epoch 52, minibatch 2500/2500, validation error 0.010000 %
epoch 53, minibatch 2500/2500, validation error 0.010000 %
epoch 54, minibatch 2500/2500, validation error 0.010000 %
epoch 55, minibatch 2500/2500, validation error 0.010000 %
epoch 56, minibatch 2500/2500, validation error 0.010000 %
epoch 57, minibatch 2500/2500, validation error 0.010000 %
epoch 58, minibatch 2500/2500, validation error 0.010000 %
epoch 59, minibatch 2500/2500, validation error 0.010000 %
epoch 60, minibatch 2500/2500, validation error 0.010000 %
epoch 61, minibatch 2500/2500, validation error 0.010000 %
epoch 62, minibatch 2500/2500, validation error 0.010000 %
epoch 63, minibatch 2500/2500, validation error 0.010000 %
epoch 64, minibatch 2500/2500, validation error 0.010000 %
epoch 65, minibatch 2500/2500, validation error 0.010000 %
epoch 66, minibatch 2500/2500, validation error 0.010000 %
epoch 67, minibatch 2500/2500, validation error 0.010000 %
epoch 68, minibatch 2500/2500, validation error 0.010000 %
epoch 69, minibatch 2500/2500, validation error 0.010000 %
epoch 70, minibatch 2500/2500, validation error 0.010000 %
epoch 71, minibatch 2500/2500, validation error 0.010000 %
epoch 72, minibatch 2500/2500, validation error 0.010000 %
epoch 73, minibatch 2500/2500, validation error 0.010000 %
epoch 74, minibatch 2500/2500, validation error 0.010000 %
epoch 75, minibatch 2500/2500, validation error 0.010000 %
epoch 76, minibatch 2500/2500, validation error 0.010000 %
epoch 77, minibatch 2500/2500, validation error 0.010000 %
epoch 78, minibatch 2500/2500, validation error 0.010000 %
epoch 79, minibatch 2500/2500, validation error 0.010000 %
epoch 80, minibatch 2500/2500, validation error 0.010000 %
epoch 81, minibatch 2500/2500, validation error 0.010000 %
epoch 82, minibatch 2500/2500, validation error 0.010000 %
epoch 83, minibatch 2500/2500, validation error 0.010000 %
epoch 84, minibatch 2500/2500, validation error 0.010000 %
epoch 85, minibatch 2500/2500, validation error 0.010000 %
epoch 86, minibatch 2500/2500, validation error 0.010000 %
epoch 87, minibatch 2500/2500, validation error 0.010000 %
epoch 88, minibatch 2500/2500, validation error 0.010000 %
epoch 89, minibatch 2500/2500, validation error 0.010000 %
epoch 90, minibatch 2500/2500, validation error 0.010000 %
epoch 91, minibatch 2500/2500, validation error 0.010000 %
epoch 92, minibatch 2500/2500, validation error 0.010000 %
epoch 93, minibatch 2500/2500, validation error 0.010000 %
epoch 94, minibatch 2500/2500, validation error 0.010000 %
epoch 95, minibatch 2500/2500, validation error 0.010000 %
Optimization complete. (with seed: 106) Best validation score of 0.010000 % obtained at iteration 120000, with test performance 0.010000 %
... loading data
... building the model
... training
epoch 1, minibatch 2500/2500, validation error 8.680000 %
     epoch 1, minibatch 2500/2500, test error of best model 9.250000 %
epoch 2, minibatch 2500/2500, validation error 2.890000 %
     epoch 2, minibatch 2500/2500, test error of best model 3.020000 %
epoch 3, minibatch 2500/2500, validation error 2.020000 %
     epoch 3, minibatch 2500/2500, test error of best model 2.210000 %
epoch 4, minibatch 2500/2500, validation error 1.680000 %
     epoch 4, minibatch 2500/2500, test error of best model 1.760000 %
epoch 5, minibatch 2500/2500, validation error 1.460000 %
     epoch 5, minibatch 2500/2500, test error of best model 1.490000 %
epoch 6, minibatch 2500/2500, validation error 1.390000 %
     epoch 6, minibatch 2500/2500, test error of best model 1.280000 %
epoch 7, minibatch 2500/2500, validation error 1.280000 %
     epoch 7, minibatch 2500/2500, test error of best model 1.120000 %
epoch 8, minibatch 2500/2500, validation error 1.180000 %
     epoch 8, minibatch 2500/2500, test error of best model 1.020000 %
epoch 9, minibatch 2500/2500, validation error 1.060000 %
     epoch 9, minibatch 2500/2500, test error of best model 0.850000 %
epoch 10, minibatch 2500/2500, validation error 0.950000 %
     epoch 10, minibatch 2500/2500, test error of best model 0.730000 %
epoch 11, minibatch 2500/2500, validation error 0.850000 %
     epoch 11, minibatch 2500/2500, test error of best model 0.630000 %
epoch 12, minibatch 2500/2500, validation error 0.720000 %
     epoch 12, minibatch 2500/2500, test error of best model 0.520000 %
epoch 13, minibatch 2500/2500, validation error 0.630000 %
     epoch 13, minibatch 2500/2500, test error of best model 0.480000 %
epoch 14, minibatch 2500/2500, validation error 0.600000 %
     epoch 14, minibatch 2500/2500, test error of best model 0.430000 %
epoch 15, minibatch 2500/2500, validation error 0.550000 %
     epoch 15, minibatch 2500/2500, test error of best model 0.330000 %
epoch 16, minibatch 2500/2500, validation error 0.480000 %
     epoch 16, minibatch 2500/2500, test error of best model 0.280000 %
epoch 17, minibatch 2500/2500, validation error 0.430000 %
     epoch 17, minibatch 2500/2500, test error of best model 0.240000 %
epoch 18, minibatch 2500/2500, validation error 0.380000 %
     epoch 18, minibatch 2500/2500, test error of best model 0.180000 %
epoch 19, minibatch 2500/2500, validation error 0.350000 %
     epoch 19, minibatch 2500/2500, test error of best model 0.140000 %
epoch 20, minibatch 2500/2500, validation error 0.250000 %
     epoch 20, minibatch 2500/2500, test error of best model 0.100000 %
epoch 21, minibatch 2500/2500, validation error 0.180000 %
     epoch 21, minibatch 2500/2500, test error of best model 0.060000 %
epoch 22, minibatch 2500/2500, validation error 0.140000 %
     epoch 22, minibatch 2500/2500, test error of best model 0.050000 %
epoch 23, minibatch 2500/2500, validation error 0.070000 %
     epoch 23, minibatch 2500/2500, test error of best model 0.040000 %
epoch 24, minibatch 2500/2500, validation error 0.030000 %
     epoch 24, minibatch 2500/2500, test error of best model 0.030000 %
epoch 25, minibatch 2500/2500, validation error 0.030000 %
epoch 26, minibatch 2500/2500, validation error 0.030000 %
epoch 27, minibatch 2500/2500, validation error 0.020000 %
     epoch 27, minibatch 2500/2500, test error of best model 0.030000 %
epoch 28, minibatch 2500/2500, validation error 0.020000 %
epoch 29, minibatch 2500/2500, validation error 0.020000 %
epoch 30, minibatch 2500/2500, validation error 0.020000 %
epoch 31, minibatch 2500/2500, validation error 0.020000 %
epoch 32, minibatch 2500/2500, validation error 0.010000 %
     epoch 32, minibatch 2500/2500, test error of best model 0.010000 %
epoch 33, minibatch 2500/2500, validation error 0.010000 %
epoch 34, minibatch 2500/2500, validation error 0.010000 %
epoch 35, minibatch 2500/2500, validation error 0.010000 %
epoch 36, minibatch 2500/2500, validation error 0.010000 %
epoch 37, minibatch 2500/2500, validation error 0.010000 %
epoch 38, minibatch 2500/2500, validation error 0.010000 %
epoch 39, minibatch 2500/2500, validation error 0.000000 %
     epoch 39, minibatch 2500/2500, test error of best model 0.010000 %
epoch 40, minibatch 2500/2500, validation error 0.000000 %
epoch 41, minibatch 2500/2500, validation error 0.000000 %
epoch 42, minibatch 2500/2500, validation error 0.000000 %
epoch 43, minibatch 2500/2500, validation error 0.000000 %
epoch 44, minibatch 2500/2500, validation error 0.000000 %
epoch 45, minibatch 2500/2500, validation error 0.000000 %
epoch 46, minibatch 2500/2500, validation error 0.000000 %
epoch 47, minibatch 2500/2500, validation error 0.000000 %
epoch 48, minibatch 2500/2500, validation error 0.000000 %
epoch 49, minibatch 2500/2500, validation error 0.000000 %
epoch 50, minibatch 2500/2500, validation error 0.000000 %
epoch 51, minibatch 2500/2500, validation error 0.000000 %
epoch 52, minibatch 2500/2500, validation error 0.000000 %
epoch 53, minibatch 2500/2500, validation error 0.000000 %
epoch 54, minibatch 2500/2500, validation error 0.000000 %
epoch 55, minibatch 2500/2500, validation error 0.000000 %
epoch 56, minibatch 2500/2500, validation error 0.000000 %
epoch 57, minibatch 2500/2500, validation error 0.000000 %
epoch 58, minibatch 2500/2500, validation error 0.000000 %
epoch 59, minibatch 2500/2500, validation error 0.000000 %
epoch 60, minibatch 2500/2500, validation error 0.000000 %
epoch 61, minibatch 2500/2500, validation error 0.000000 %
epoch 62, minibatch 2500/2500, validation error 0.000000 %
epoch 63, minibatch 2500/2500, validation error 0.000000 %
epoch 64, minibatch 2500/2500, validation error 0.000000 %
epoch 65, minibatch 2500/2500, validation error 0.000000 %
epoch 66, minibatch 2500/2500, validation error 0.000000 %
epoch 67, minibatch 2500/2500, validation error 0.000000 %
epoch 68, minibatch 2500/2500, validation error 0.000000 %
epoch 69, minibatch 2500/2500, validation error 0.010000 %
epoch 70, minibatch 2500/2500, validation error 0.010000 %
epoch 71, minibatch 2500/2500, validation error 0.010000 %
epoch 72, minibatch 2500/2500, validation error 0.010000 %
epoch 73, minibatch 2500/2500, validation error 0.010000 %
epoch 74, minibatch 2500/2500, validation error 0.010000 %
epoch 75, minibatch 2500/2500, validation error 0.010000 %
epoch 76, minibatch 2500/2500, validation error 0.010000 %
epoch 77, minibatch 2500/2500, validation error 0.010000 %
Optimization complete. (with seed: 107) Best validation score of 0.000000 % obtained at iteration 97500, with test performance 0.010000 %
... loading data
... building the model
... training
epoch 1, minibatch 2500/2500, validation error 8.270000 %
     epoch 1, minibatch 2500/2500, test error of best model 9.070000 %
epoch 2, minibatch 2500/2500, validation error 2.570000 %
     epoch 2, minibatch 2500/2500, test error of best model 2.390000 %
epoch 3, minibatch 2500/2500, validation error 0.630000 %
     epoch 3, minibatch 2500/2500, test error of best model 0.820000 %
epoch 4, minibatch 2500/2500, validation error 0.400000 %
     epoch 4, minibatch 2500/2500, test error of best model 0.600000 %
epoch 5, minibatch 2500/2500, validation error 0.320000 %
     epoch 5, minibatch 2500/2500, test error of best model 0.360000 %
epoch 6, minibatch 2500/2500, validation error 0.310000 %
     epoch 6, minibatch 2500/2500, test error of best model 0.330000 %
epoch 7, minibatch 2500/2500, validation error 0.360000 %
epoch 8, minibatch 2500/2500, validation error 0.380000 %
epoch 9, minibatch 2500/2500, validation error 0.380000 %
epoch 10, minibatch 2500/2500, validation error 0.370000 %
epoch 11, minibatch 2500/2500, validation error 0.360000 %
Optimization complete. (with seed: 108) Best validation score of 0.310000 % obtained at iteration 15000, with test performance 0.330000 %
... loading data
... building the model
... training
epoch 1, minibatch 2500/2500, validation error 2.950000 %
     epoch 1, minibatch 2500/2500, test error of best model 2.960000 %
epoch 2, minibatch 2500/2500, validation error 1.040000 %
     epoch 2, minibatch 2500/2500, test error of best model 1.090000 %
epoch 3, minibatch 2500/2500, validation error 0.890000 %
     epoch 3, minibatch 2500/2500, test error of best model 0.930000 %
epoch 4, minibatch 2500/2500, validation error 0.740000 %
     epoch 4, minibatch 2500/2500, test error of best model 0.770000 %
epoch 5, minibatch 2500/2500, validation error 0.620000 %
     epoch 5, minibatch 2500/2500, test error of best model 0.630000 %
epoch 6, minibatch 2500/2500, validation error 0.590000 %
     epoch 6, minibatch 2500/2500, test error of best model 0.570000 %
epoch 7, minibatch 2500/2500, validation error 0.560000 %
     epoch 7, minibatch 2500/2500, test error of best model 0.490000 %
epoch 8, minibatch 2500/2500, validation error 0.520000 %
     epoch 8, minibatch 2500/2500, test error of best model 0.460000 %
epoch 9, minibatch 2500/2500, validation error 0.430000 %
     epoch 9, minibatch 2500/2500, test error of best model 0.370000 %
epoch 10, minibatch 2500/2500, validation error 0.370000 %
     epoch 10, minibatch 2500/2500, test error of best model 0.300000 %
epoch 11, minibatch 2500/2500, validation error 0.330000 %
     epoch 11, minibatch 2500/2500, test error of best model 0.260000 %
epoch 12, minibatch 2500/2500, validation error 0.290000 %
     epoch 12, minibatch 2500/2500, test error of best model 0.200000 %
epoch 13, minibatch 2500/2500, validation error 0.220000 %
     epoch 13, minibatch 2500/2500, test error of best model 0.180000 %
epoch 14, minibatch 2500/2500, validation error 0.170000 %
     epoch 14, minibatch 2500/2500, test error of best model 0.100000 %
epoch 15, minibatch 2500/2500, validation error 0.150000 %
     epoch 15, minibatch 2500/2500, test error of best model 0.090000 %
epoch 16, minibatch 2500/2500, validation error 0.130000 %
     epoch 16, minibatch 2500/2500, test error of best model 0.080000 %
epoch 17, minibatch 2500/2500, validation error 0.120000 %
     epoch 17, minibatch 2500/2500, test error of best model 0.070000 %
epoch 18, minibatch 2500/2500, validation error 0.120000 %
epoch 19, minibatch 2500/2500, validation error 0.110000 %
     epoch 19, minibatch 2500/2500, test error of best model 0.060000 %
epoch 20, minibatch 2500/2500, validation error 0.110000 %
epoch 21, minibatch 2500/2500, validation error 0.100000 %
     epoch 21, minibatch 2500/2500, test error of best model 0.040000 %
epoch 22, minibatch 2500/2500, validation error 0.070000 %
     epoch 22, minibatch 2500/2500, test error of best model 0.040000 %
epoch 23, minibatch 2500/2500, validation error 0.070000 %
epoch 24, minibatch 2500/2500, validation error 0.070000 %
epoch 25, minibatch 2500/2500, validation error 0.070000 %
epoch 26, minibatch 2500/2500, validation error 0.070000 %
epoch 27, minibatch 2500/2500, validation error 0.070000 %
epoch 28, minibatch 2500/2500, validation error 0.070000 %
epoch 29, minibatch 2500/2500, validation error 0.060000 %
     epoch 29, minibatch 2500/2500, test error of best model 0.030000 %
epoch 30, minibatch 2500/2500, validation error 0.060000 %
epoch 31, minibatch 2500/2500, validation error 0.060000 %
epoch 32, minibatch 2500/2500, validation error 0.060000 %
epoch 33, minibatch 2500/2500, validation error 0.060000 %
epoch 34, minibatch 2500/2500, validation error 0.060000 %
epoch 35, minibatch 2500/2500, validation error 0.060000 %
epoch 36, minibatch 2500/2500, validation error 0.060000 %
epoch 37, minibatch 2500/2500, validation error 0.050000 %
     epoch 37, minibatch 2500/2500, test error of best model 0.030000 %
epoch 38, minibatch 2500/2500, validation error 0.050000 %
epoch 39, minibatch 2500/2500, validation error 0.050000 %
epoch 40, minibatch 2500/2500, validation error 0.050000 %
epoch 41, minibatch 2500/2500, validation error 0.050000 %
epoch 42, minibatch 2500/2500, validation error 0.040000 %
     epoch 42, minibatch 2500/2500, test error of best model 0.020000 %
epoch 43, minibatch 2500/2500, validation error 0.040000 %
epoch 44, minibatch 2500/2500, validation error 0.040000 %
epoch 45, minibatch 2500/2500, validation error 0.040000 %
epoch 46, minibatch 2500/2500, validation error 0.040000 %
epoch 47, minibatch 2500/2500, validation error 0.040000 %
epoch 48, minibatch 2500/2500, validation error 0.040000 %
epoch 49, minibatch 2500/2500, validation error 0.040000 %
epoch 50, minibatch 2500/2500, validation error 0.040000 %
epoch 51, minibatch 2500/2500, validation error 0.040000 %
epoch 52, minibatch 2500/2500, validation error 0.040000 %
epoch 53, minibatch 2500/2500, validation error 0.040000 %
epoch 54, minibatch 2500/2500, validation error 0.040000 %
epoch 55, minibatch 2500/2500, validation error 0.040000 %
epoch 56, minibatch 2500/2500, validation error 0.040000 %
epoch 57, minibatch 2500/2500, validation error 0.040000 %
epoch 58, minibatch 2500/2500, validation error 0.040000 %
epoch 59, minibatch 2500/2500, validation error 0.040000 %
epoch 60, minibatch 2500/2500, validation error 0.040000 %
epoch 61, minibatch 2500/2500, validation error 0.040000 %
epoch 62, minibatch 2500/2500, validation error 0.040000 %
epoch 63, minibatch 2500/2500, validation error 0.040000 %
epoch 64, minibatch 2500/2500, validation error 0.040000 %
epoch 65, minibatch 2500/2500, validation error 0.040000 %
epoch 66, minibatch 2500/2500, validation error 0.040000 %
epoch 67, minibatch 2500/2500, validation error 0.040000 %
epoch 68, minibatch 2500/2500, validation error 0.040000 %
epoch 69, minibatch 2500/2500, validation error 0.040000 %
epoch 70, minibatch 2500/2500, validation error 0.040000 %
epoch 71, minibatch 2500/2500, validation error 0.040000 %
epoch 72, minibatch 2500/2500, validation error 0.040000 %
epoch 73, minibatch 2500/2500, validation error 0.040000 %
epoch 74, minibatch 2500/2500, validation error 0.040000 %
epoch 75, minibatch 2500/2500, validation error 0.040000 %
epoch 76, minibatch 2500/2500, validation error 0.040000 %
epoch 77, minibatch 2500/2500, validation error 0.030000 %
     epoch 77, minibatch 2500/2500, test error of best model 0.000000 %
epoch 78, minibatch 2500/2500, validation error 0.030000 %
epoch 79, minibatch 2500/2500, validation error 0.030000 %
epoch 80, minibatch 2500/2500, validation error 0.030000 %
epoch 81, minibatch 2500/2500, validation error 0.030000 %
epoch 82, minibatch 2500/2500, validation error 0.030000 %
epoch 83, minibatch 2500/2500, validation error 0.030000 %
epoch 84, minibatch 2500/2500, validation error 0.030000 %
epoch 85, minibatch 2500/2500, validation error 0.030000 %
epoch 86, minibatch 2500/2500, validation error 0.030000 %
epoch 87, minibatch 2500/2500, validation error 0.030000 %
epoch 88, minibatch 2500/2500, validation error 0.030000 %
epoch 89, minibatch 2500/2500, validation error 0.030000 %
epoch 90, minibatch 2500/2500, validation error 0.030000 %
epoch 91, minibatch 2500/2500, validation error 0.030000 %
epoch 92, minibatch 2500/2500, validation error 0.030000 %
epoch 93, minibatch 2500/2500, validation error 0.030000 %
epoch 94, minibatch 2500/2500, validation error 0.030000 %
epoch 95, minibatch 2500/2500, validation error 0.030000 %
epoch 96, minibatch 2500/2500, validation error 0.030000 %
epoch 97, minibatch 2500/2500, validation error 0.030000 %
epoch 98, minibatch 2500/2500, validation error 0.030000 %
epoch 99, minibatch 2500/2500, validation error 0.030000 %
epoch 100, minibatch 2500/2500, validation error 0.030000 %
epoch 101, minibatch 2500/2500, validation error 0.030000 %
epoch 102, minibatch 2500/2500, validation error 0.030000 %
epoch 103, minibatch 2500/2500, validation error 0.030000 %
epoch 104, minibatch 2500/2500, validation error 0.030000 %
epoch 105, minibatch 2500/2500, validation error 0.030000 %
epoch 106, minibatch 2500/2500, validation error 0.030000 %
epoch 107, minibatch 2500/2500, validation error 0.030000 %
epoch 108, minibatch 2500/2500, validation error 0.030000 %
epoch 109, minibatch 2500/2500, validation error 0.030000 %
epoch 110, minibatch 2500/2500, validation error 0.030000 %
epoch 111, minibatch 2500/2500, validation error 0.030000 %
epoch 112, minibatch 2500/2500, validation error 0.030000 %
epoch 113, minibatch 2500/2500, validation error 0.030000 %
epoch 114, minibatch 2500/2500, validation error 0.030000 %
epoch 115, minibatch 2500/2500, validation error 0.030000 %
epoch 116, minibatch 2500/2500, validation error 0.030000 %
epoch 117, minibatch 2500/2500, validation error 0.030000 %
epoch 118, minibatch 2500/2500, validation error 0.030000 %
epoch 119, minibatch 2500/2500, validation error 0.030000 %
epoch 120, minibatch 2500/2500, validation error 0.030000 %
epoch 121, minibatch 2500/2500, validation error 0.030000 %
epoch 122, minibatch 2500/2500, validation error 0.030000 %
epoch 123, minibatch 2500/2500, validation error 0.030000 %
epoch 124, minibatch 2500/2500, validation error 0.030000 %
epoch 125, minibatch 2500/2500, validation error 0.030000 %
epoch 126, minibatch 2500/2500, validation error 0.030000 %
epoch 127, minibatch 2500/2500, validation error 0.030000 %
epoch 128, minibatch 2500/2500, validation error 0.030000 %
epoch 129, minibatch 2500/2500, validation error 0.030000 %
epoch 130, minibatch 2500/2500, validation error 0.030000 %
epoch 131, minibatch 2500/2500, validation error 0.030000 %
epoch 132, minibatch 2500/2500, validation error 0.030000 %
epoch 133, minibatch 2500/2500, validation error 0.030000 %
epoch 134, minibatch 2500/2500, validation error 0.030000 %
epoch 135, minibatch 2500/2500, validation error 0.030000 %
epoch 136, minibatch 2500/2500, validation error 0.030000 %
epoch 137, minibatch 2500/2500, validation error 0.030000 %
epoch 138, minibatch 2500/2500, validation error 0.030000 %
epoch 139, minibatch 2500/2500, validation error 0.020000 %
     epoch 139, minibatch 2500/2500, test error of best model 0.000000 %
epoch 140, minibatch 2500/2500, validation error 0.020000 %
epoch 141, minibatch 2500/2500, validation error 0.020000 %
epoch 142, minibatch 2500/2500, validation error 0.020000 %
epoch 143, minibatch 2500/2500, validation error 0.020000 %
epoch 144, minibatch 2500/2500, validation error 0.020000 %
epoch 145, minibatch 2500/2500, validation error 0.020000 %
epoch 146, minibatch 2500/2500, validation error 0.020000 %
epoch 147, minibatch 2500/2500, validation error 0.020000 %
epoch 148, minibatch 2500/2500, validation error 0.020000 %
epoch 149, minibatch 2500/2500, validation error 0.020000 %
epoch 150, minibatch 2500/2500, validation error 0.020000 %
epoch 151, minibatch 2500/2500, validation error 0.020000 %
epoch 152, minibatch 2500/2500, validation error 0.020000 %
epoch 153, minibatch 2500/2500, validation error 0.020000 %
epoch 154, minibatch 2500/2500, validation error 0.020000 %
epoch 155, minibatch 2500/2500, validation error 0.020000 %
epoch 156, minibatch 2500/2500, validation error 0.020000 %
epoch 157, minibatch 2500/2500, validation error 0.020000 %
epoch 158, minibatch 2500/2500, validation error 0.020000 %
epoch 159, minibatch 2500/2500, validation error 0.020000 %
epoch 160, minibatch 2500/2500, validation error 0.020000 %
epoch 161, minibatch 2500/2500, validation error 0.020000 %
epoch 162, minibatch 2500/2500, validation error 0.020000 %
epoch 163, minibatch 2500/2500, validation error 0.020000 %
epoch 164, minibatch 2500/2500, validation error 0.020000 %
epoch 165, minibatch 2500/2500, validation error 0.020000 %
epoch 166, minibatch 2500/2500, validation error 0.020000 %
epoch 167, minibatch 2500/2500, validation error 0.020000 %
epoch 168, minibatch 2500/2500, validation error 0.020000 %
epoch 169, minibatch 2500/2500, validation error 0.020000 %
epoch 170, minibatch 2500/2500, validation error 0.020000 %
epoch 171, minibatch 2500/2500, validation error 0.020000 %
epoch 172, minibatch 2500/2500, validation error 0.020000 %
epoch 173, minibatch 2500/2500, validation error 0.020000 %
epoch 174, minibatch 2500/2500, validation error 0.020000 %
epoch 175, minibatch 2500/2500, validation error 0.020000 %
epoch 176, minibatch 2500/2500, validation error 0.020000 %
epoch 177, minibatch 2500/2500, validation error 0.020000 %
epoch 178, minibatch 2500/2500, validation error 0.020000 %
epoch 179, minibatch 2500/2500, validation error 0.020000 %
epoch 180, minibatch 2500/2500, validation error 0.020000 %
epoch 181, minibatch 2500/2500, validation error 0.020000 %
epoch 182, minibatch 2500/2500, validation error 0.020000 %
epoch 183, minibatch 2500/2500, validation error 0.020000 %
epoch 184, minibatch 2500/2500, validation error 0.020000 %
epoch 185, minibatch 2500/2500, validation error 0.020000 %
epoch 186, minibatch 2500/2500, validation error 0.020000 %
epoch 187, minibatch 2500/2500, validation error 0.020000 %
epoch 188, minibatch 2500/2500, validation error 0.020000 %
epoch 189, minibatch 2500/2500, validation error 0.020000 %
epoch 190, minibatch 2500/2500, validation error 0.020000 %
epoch 191, minibatch 2500/2500, validation error 0.020000 %
epoch 192, minibatch 2500/2500, validation error 0.020000 %
epoch 193, minibatch 2500/2500, validation error 0.020000 %
epoch 194, minibatch 2500/2500, validation error 0.020000 %
epoch 195, minibatch 2500/2500, validation error 0.020000 %
epoch 196, minibatch 2500/2500, validation error 0.020000 %
epoch 197, minibatch 2500/2500, validation error 0.020000 %
epoch 198, minibatch 2500/2500, validation error 0.020000 %
epoch 199, minibatch 2500/2500, validation error 0.020000 %
epoch 200, minibatch 2500/2500, validation error 0.020000 %
epoch 201, minibatch 2500/2500, validation error 0.020000 %
epoch 202, minibatch 2500/2500, validation error 0.020000 %
epoch 203, minibatch 2500/2500, validation error 0.020000 %
epoch 204, minibatch 2500/2500, validation error 0.020000 %
epoch 205, minibatch 2500/2500, validation error 0.020000 %
epoch 206, minibatch 2500/2500, validation error 0.020000 %
epoch 207, minibatch 2500/2500, validation error 0.020000 %
epoch 208, minibatch 2500/2500, validation error 0.020000 %
epoch 209, minibatch 2500/2500, validation error 0.020000 %
epoch 210, minibatch 2500/2500, validation error 0.020000 %
epoch 211, minibatch 2500/2500, validation error 0.020000 %
epoch 212, minibatch 2500/2500, validation error 0.020000 %
epoch 213, minibatch 2500/2500, validation error 0.020000 %
epoch 214, minibatch 2500/2500, validation error 0.020000 %
epoch 215, minibatch 2500/2500, validation error 0.020000 %
epoch 216, minibatch 2500/2500, validation error 0.020000 %
epoch 217, minibatch 2500/2500, validation error 0.020000 %
epoch 218, minibatch 2500/2500, validation error 0.020000 %
epoch 219, minibatch 2500/2500, validation error 0.020000 %
epoch 220, minibatch 2500/2500, validation error 0.020000 %
epoch 221, minibatch 2500/2500, validation error 0.020000 %
epoch 222, minibatch 2500/2500, validation error 0.020000 %
epoch 223, minibatch 2500/2500, validation error 0.020000 %
epoch 224, minibatch 2500/2500, validation error 0.020000 %
epoch 225, minibatch 2500/2500, validation error 0.020000 %
epoch 226, minibatch 2500/2500, validation error 0.010000 %
     epoch 226, minibatch 2500/2500, test error of best model 0.000000 %
epoch 227, minibatch 2500/2500, validation error 0.010000 %
epoch 228, minibatch 2500/2500, validation error 0.010000 %
epoch 229, minibatch 2500/2500, validation error 0.010000 %
epoch 230, minibatch 2500/2500, validation error 0.010000 %
epoch 231, minibatch 2500/2500, validation error 0.010000 %
epoch 232, minibatch 2500/2500, validation error 0.010000 %
epoch 233, minibatch 2500/2500, validation error 0.010000 %
epoch 234, minibatch 2500/2500, validation error 0.010000 %
epoch 235, minibatch 2500/2500, validation error 0.010000 %
epoch 236, minibatch 2500/2500, validation error 0.010000 %
epoch 237, minibatch 2500/2500, validation error 0.010000 %
epoch 238, minibatch 2500/2500, validation error 0.010000 %
